Name,RecordTypeId,FieldApiName__c,Filter__c,RelatedObject__c,ProductType__c,DisplayOrder__c,Errors,Id
Město klienta,0121X000005ITfiQAG,AccountCity__c,exact match;contains,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8sjUAC
Detailní stav,0121X000005ITfiQAG,Status__c,exact match;contains,Asset,PMO,,,a0Q1X000003L8skUAC
Detailní stav,0121X000005ITfiQAG,Status__c,exact match;contains,Asset,RiskLifeInsurance,,,a0Q1X000003L8slUAC
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=;=,Asset,RiskLifeInsurance,,,a0Q1X000003L8smUAC
StateCode,0121X000005ITfiQAG,StateCode__c,contains,Asset,CSOBCurrentAccount,,,a0Q1X000003L8snUAC
Příspěvek celkem,0121X000005ITfhQAG,MonthFeeTotal__c,<=;>=,Asset,PensionProducts,,,a0Q1X000003L8soUAC
Datum uzavření,0121X000005ITfgQAG,ProductCloseDate__c,<=;>=,Asset,RiskLifeInsurance,,,a0Q1X000003L8spUAC
Podtyp produktu,0121X000005ITfiQAG,ProductSubtype__c,exact match;contains,Asset,PensionProducts,,,a0Q1X000003L8sqUAC
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=;=,Asset,CreditAndIntermediateLoan,,,a0Q1X000003L8srUAC
Město klienta,0121X000005ITfiQAG,AccountCity__c,exact match;contains,Asset,PensionProducts,,,a0Q1X000003L8ssUAC
Pozůstalostní penze,0121X000005ITffQAG,EstatePension__c,N/A,Asset,PensionProducts,,,a0Q1X000003L8stUAC
Datum uzavření,0121X000005ITfgQAG,ProductCloseDate__c,<=;>=,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8suUAC
Platnost od,0121X000005ITfgQAG,ValidFrom__c,<=;>=,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8svUAC
Datum aktivace,0121X000005ITfgQAG,ActivationDate__c,<=;>=,Asset,RiskLifeInsurance,,,a0Q1X000003L8swUAC
PSČ,0121X000005ITfiQAG,AccountPostalCode__c,exact match;start with,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8sxUAC
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=;=,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8syUAC
Detailní stav,0121X000005ITfiQAG,Status__c,exact match;contains,Asset,PensionProducts,,,a0Q1X000003L8szUAC
Datum prvního čerpání úvěru,0121X000005ITfgQAG,FirstDrawDate__c,<=;>=,Asset,CSOBCurrentAccount,,,a0Q1X000003L8t0UAC
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=;=,Asset,BuildingSavings,,,a0Q1X000003L8t1UAC
Výročí - měsíc,0121X000005ITfhQAG,Anniversary__c,<=;>=,Asset,PMO,,,a0Q1X000003L8t2UAC
Plán. datum splac. ÚP,0121X000005ITfgQAG,PlanCreditPayment__c,<=;>=,Asset,CreditCases,,,a0Q1X000003L8t3UAC
Typ úvěru,0121X000005ITfiQAG,CreditType__c,contains;start with,Asset,CreditCases,,,a0Q1X000003L8t4UAC
Termín úplného vyčerpání,0121X000005ITfgQAG,DrawdownTerm__c,<=;>=,Asset,CreditCases,,,a0Q1X000003L8t5UAC
